12th arrondissement of Paris,is located in,France
14th arrondissement of Paris,is located in,France
16th arrondissement of Paris,is located in,France
1st arrondissement of Paris,is located in,France
301 Military Hospital,is located in,Peoples Republic of China
5th arrondissement of Paris,is located in,France
7th arrondissement of Paris,is located in,France
Aabenraa,is located in,Denmark
Aabenraa Municipality,is located in,Denmark
Aachen,is located in,Germany
Aalborg,is located in,Denmark
Aalen,is located in,Germany
Aalsmeer,is located in,Netherlands
Aalst,is located in,Belgium
Aarau,is located in,Switzerland
Aarhus,is located in,Denmark
Aaronsburg, Pennsylvania,is located in,United States of America
Abadan,is located in,Iran
Abaetetuba,is located in,Brazil
Abbeville,is located in,United States of America
Abbott,is located in,United States of America
Abcoude,is located in,Netherlands
Abeokuta,is located in,Nigeria
Aberconwy Abbey,is located in,United Kingdom
Aberdare,is located in,United Kingdom
Aberdeen,is located in,United Kingdom
Aberdeen,is located in,United States of America
Abia State,is located in,Nigeria
Abidjan,is located in,Ivory Coast
Abilene,is located in,United States of America
Abingdon,is located in,United States of America
Abingdon-on-Thames,is located in,United Kingdom
Abington,is located in,United States of America
Abington Township,is located in,United States of America
Abkhazia,is located in,Georgia
Abritus,is located in,Bulgaria
Absam,is located in,Austria
Abu Dhabi,is located in,United Arab Emirates
Abuja,is located in,Nigeria
Abyan Governorate,is located in,Yemen
Acajutla,is located in,El Salvador
Acapulco,is located in,Mexico
Accomac,is located in,United States of America
Accra,is located in,Ghana
Acerra,is located in,Italy
Achim,is located in,Germany
A Coruña,is located in,Spain
Acqualagna,is located in,Italy
Acqui Terme,is located in,Italy
Acton,is located in,United Kingdom
Acton,is located in,United States of America
Ada,is located in,Serbia
Adams,is located in,United States of America
Adamstown, County Wexford,is located in,Ireland
Adana,is located in,Turkey
Adapazarı,is located in,Turkey
Addis Ababa,is located in,Ethiopia
Adelaide,is located in,Australia
Aden,is located in,Yemen
Admont,is located in,Austria
Adolf-Hitler-Geburtshaus,is located in,Austria
Adony,is located in,Hungary
Adria,is located in,Italy
Adrian,is located in,United States of America
Adyar,is located in,India
Afghanistan,is located in,Afghanistan
Afghanistan,is located in,Asia
Afula,is located in,Israel
Afyonkarahisar,is located in,Turkey
Agadir,is located in,Morocco
Aga Khan Palace,is located in,India
Ağcabədi,is located in,Azerbaijan
Agen,is located in,France
Agra,is located in,India
Agrate Brianza,is located in,Italy
Agrigento,is located in,Italy
Aguadulce,is located in,Panama
Aguascalientes City,is located in,Mexico
Águeda Municipality,is located in,Portugal
Ahja,is located in,Estonia
Ahmadabad-e Mosaddeq,is located in,Iran
Ahmedabad,is located in,India
Ahmednagar,is located in,India
Ahrensburg,is located in,Germany
Ahvaz,is located in,Iran
Ahwatukee,is located in,United States of America
Aiello del Friuli,is located in,Italy
Aigueperse,is located in,France
